YEILD_STRENGTH,ULTIMATE_TENSILE_STRENGTH,GRADE,FXTEMP_MAX,FXTEMP_MIN,FXTEMP_PCTON,FXTEMP_PCTUNDER,CTEMP_MAX,CTEMP_PCTON,AL,CE,MN,V
402,530,HHTA1B          ,882.5,834.75,92.093,0.93,690.703,73.488,0.045,0.396,1.3,0.043
406,529,HHTA1B          ,870.5,835.25,93.987,0,663.192,94.34,0.045,0.393,1.35,0.043
323,479,HDR09C          ,874.375,832.125,91.736,0,680.465,92.975,0.045,0.327,0.97,0.001
333,479,HDR09C          ,862.625,830.625,97.222,0,665.196,73.733,0.042,0.338,0.98,0.001
337,465,HDR09C          ,877.125,846.375,94.325,0,639.618,98.246,0.045,0.329,0.98,0.001
492,597,HDR09C          ,855.25,827.75,98.625,1.375,654.874,97.466,0.045,0.323,0.96,0.001
348,474,HDR09C          ,855.25,827.75,98.625,1.375,654.874,97.466,0.045,0.323,0.96,0.001
447,548,HHTA1B          ,864.375,832.875,97.814,2.186,642.536,97.464,0.041,0.397,1.32,0.043
393,493,HHTA1B          ,863,831.125,99.791,0.209,661.619,93.763,0.038,0.388,1.32,0.045
446,541,HHTA1B          ,869,828,92.649,0.127,629.69,99.619,0.042,0.408,1.35,0.043
475,596,HHTA1B          ,865.5,839.5,99.567,0,678.127,93.103,0.045,0.389,1.36,0.045
401,530,HHTA1B          ,863.5,821.5,68.354,31.646,689.013,85.774,0.043,0.392,1.34,0.044
331,470,HDR09C          ,866.375,842.875,92.157,0,680.799,96.484,0.045,0.329,0.98,0.001
419,535,HHTA1B          ,878.625,850.375,81.013,0,680.313,94.984,0.045,0.393,1.35,0.043
415,529,HHTA1B          ,870.75,836.75,96.364,0,646.728,91.451,0.041,0.393,1.33,0.042
422,521,HHTA1B          ,860.5,812.875,99.687,0.313,639.802,90.781,0.036,0.406,1.4,0.049
408,520,HHTA1B          ,881.875,831.75,95.046,0.13,629.222,95.579,0.041,0.393,1.33,0.042
426,526,HHTA1B          ,857.125,807.5,99.377,0.623,639.719,90.81,0.036,0.406,1.4,0.049
355,480,HDR09C          ,860.25,827.25,97.417,2.214,668.266,89.011,0.045,0.33,0.99,0.001
463,570,HHTA1B          ,877.5,821.875,79.464,0.298,641.309,92.25,0.044,0.394,1.37,0.045
413,515,HHTA1B          ,870.25,832.5,91.909,2.265,651.297,82.315,0.041,0.392,1.34,0.041
472,587,HHTA1B          ,869.75,843.25,96.667,0,675.437,92.251,0.045,0.389,1.33,0.043
358,487,HDR09C          ,870.125,832.875,91.632,0,673.003,86.667,0.037,0.33,1,0.001
401,525,HHTA1B          ,866,834,98.214,0.255,629.771,88.608,0.034,0.389,1.35,0.048
397,530,HHTA1B          ,881.625,852.75,79.724,0,682.7,94.931,0.042,0.399,1.3,0.044
342,483,HDR09C          ,867.25,838.625,94.608,0,646.505,94.634,0.045,0.358,1.07,0.001
436,542,HHTA1B          ,868.875,841.875,91.649,0,647.867,84.435,0.045,0.389,1.36,0.043
384,518,HHTA1B          ,864.375,840.75,100,0,684.92,92.627,0.038,0.396,1.33,0.042
389,523,HHTA1B          ,878.375,836.75,94.47,0,681.712,92.166,0.036,0.399,1.36,0.041
393,523,HHTA1B          ,875.875,842.375,96.313,0,683.867,88.94,0.038,0.396,1.33,0.042
385,497,HHTA1B          ,859.5,830.375,99.721,0.279,633.643,100,0.038,0.395,1.38,0.047
